outputscale,omega,lml
2.109999999999999432e+00,-6.000000000000000000e+00,-3.053192460441295776e+11
2.132499999999999396e+00,-6.000000000000000000e+00,-3.059614854170100708e+11
2.154999999999999361e+00,-6.000000000000000000e+00,-3.047916694508767090e+11
2.177499999999999325e+00,-6.000000000000000000e+00,-3.007550180148310547e+11
2.199999999999999289e+00,-6.000000000000000000e+00,-3.187064064071199951e+11
2.222500000000000142e+00,-6.000000000000000000e+00,-3.067111410205967407e+11
2.245000000000000107e+00,-6.000000000000000000e+00,-3.085074198321569824e+11
2.267500000000000071e+00,-6.000000000000000000e+00,-3.128406410683022461e+11
2.290000000000000036e+00,-6.000000000000000000e+00,-3.057350047928130493e+11
2.312500000000000000e+00,-6.000000000000000000e+00,-3.065896983416283569e+11
2.334999999999999964e+00,-6.000000000000000000e+00,-3.066840648560315552e+11
2.357499999999999929e+00,-6.000000000000000000e+00,-3.058321441192928467e+11
2.379999999999999893e+00,-6.000000000000000000e+00,-3.070800869430362549e+11
2.402499999999999858e+00,-6.000000000000000000e+00,-3.056764391725858154e+11
2.424999999999999822e+00,-6.000000000000000000e+00,-3.147064699035883789e+11
2.447499999999999787e+00,-6.000000000000000000e+00,-3.004921780545923462e+11
2.469999999999999751e+00,-6.000000000000000000e+00,-3.081470205164971924e+11
2.492499999999999716e+00,-6.000000000000000000e+00,-2.973910289695521240e+11
2.514999999999999680e+00,-6.000000000000000000e+00,-3.142461525030703125e+11
2.537499999999999645e+00,-6.000000000000000000e+00,-2.944113024005716553e+11
2.559999999999999609e+00,-6.000000000000000000e+00,-3.102432155239188843e+11
2.582499999999999574e+00,-6.000000000000000000e+00,-3.070828329771372681e+11
2.604999999999999538e+00,-6.000000000000000000e+00,-3.090077438355750122e+11
2.627499999999999503e+00,-6.000000000000000000e+00,-3.120216767031634521e+11
2.649999999999999467e+00,-6.000000000000000000e+00,-3.099462641797764893e+11
2.672499999999999432e+00,-6.000000000000000000e+00,-3.115651194669569092e+11
2.694999999999999396e+00,-6.000000000000000000e+00,-3.040641109915654297e+11
2.717499999999999361e+00,-6.000000000000000000e+00,-3.090605716479527588e+11
