problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
ackley,20,20,0.002,GP+ (LOO),0.21304282232204724,0.004782340553630711,1.05449664927061,0.0323007513464286
ackley,20,20,0.08,GP+ (LOO),0.23502407921409366,0.0053921300879981315,1.175451112619235,0.0395071734074216
ackley,20,5,0.002,GP+ (LOO),0.7821262143049527,0.35281034826177105,12.819012628272683,6.734797450922999
ackley,20,5,0.08,GP+ (LOO),1.0014710173918309,0.15770328788899185,16.646190091028185,0.9280959953020025
ackley,40,20,0.002,GP+ (LOO),0.2090767742732734,0.0033160054980105906,1.019404804409692,0.024666455456954294
ackley,40,20,0.08,GP+ (LOO),0.2284396192075835,0.00375053553009697,1.112648277157448,0.023025519532002568
ackley,40,5,0.002,GP+ (LOO),0.3543180924264349,0.3335721816924651,2.603938851945978,5.778362767741199
ackley,40,5,0.08,GP+ (LOO),0.40047470871285196,0.21230135660428198,3.6278690154113398,3.4210989512422207
borehole,8,20,0.002,GP+ (LOO),0.0049442985163430375,0.0016032510445490422,0.028100229263014365,0.020165137146773794
borehole,8,20,0.08,GP+ (LOO),0.21243188563492132,0.03277675100520647,0.9546138022116606,0.052410102178207074
borehole,8,5,0.002,GP+ (LOO),0.04374226026669244,0.0127207651823184,0.6446728042548749,0.3005872866552954
borehole,8,5,0.08,GP+ (LOO),0.2590986586536412,0.11854371713291917,5.299159242322741,2.462300070918148
buckling,4,20,0.002,GP+ (LOO),0.04924710376042343,0.02080505855803737,0.23505650850389506,0.1625452480629149
buckling,4,20,0.08,GP+ (LOO),0.24891160407688387,0.23366879330204646,1.359387495295592,2.9162955132937602
buckling,4,5,0.002,GP+ (LOO),0.5194876241352195,0.17626356662660528,10.35472019534706,5.09267685635617
buckling,4,5,0.08,GP+ (LOO),0.8512013706059465,0.5737689625503513,18.103365296342098,10.358295503046117
dixon_price,40,20,0.002,GP+ (LOO),0.3202434879352594,0.007502697333011605,1.495274026835978,0.037632172086846376
dixon_price,40,20,0.08,GP+ (LOO),0.33308530554437404,0.0072143028406951625,1.5465074363217763,0.04001514656435275
dixon_price,40,5,0.002,GP+ (LOO),0.668822029651833,0.25068983003038936,5.710363701153094,4.777073916800407
dixon_price,40,5,0.08,GP+ (LOO),0.6608873954207639,0.25725829736573896,5.945817463272407,4.217691060824092
griewank,20,20,0.002,GP+ (LOO),0.0021459822348684748,0.0022796739115055783,0.010312246359375941,0.012363883147519251
griewank,20,20,0.08,GP+ (LOO),0.08539948974042406,0.008718109671048307,0.411643163774877,0.043048516124794683
griewank,20,5,0.002,GP+ (LOO),1.0399998256337093,0.5128499571379931,16.36858707437438,8.118623339071306
griewank,20,5,0.08,GP+ (LOO),1.0130600229534124,0.46466453816777764,14.45347818486228,7.220793942606061
rosenbrock,80,20,0.002,GP+ (LOO),2.459750026707609,2.1694009013653397,53.05610879810571,68.4844872995715
rosenbrock,80,20,0.08,GP+ (LOO),6.4114439918406365,17.94577112157368,181.4825440673074,681.0718548263742
rosenbrock,80,5,0.002,GP+ (LOO),0.5214911322886348,0.20449231290136718,3.4832020574433846,3.615460986285735
rosenbrock,80,5,0.08,GP+ (LOO),0.7170939448097949,0.2829379198433596,5.980062334287226,4.7418558278149785
wing,10,20,0.002,GP+ (LOO),0.005090788331169207,1.0190369411035814e-05,0.023485116936537438,0.00013619652879204476
wing,10,20,0.08,GP+ (LOO),0.09526348318123522,0.006948500257369774,0.4461418389649145,0.04783109073069619
wing,10,5,0.002,GP+ (LOO),0.05748352049896442,0.020369425775279792,1.1069486391625787,0.584994871960253
wing,10,5,0.08,GP+ (LOO),0.2322094569224275,0.03655945961789604,3.6756502835043525,1.566673190702284
zakharov,20,20,0.002,GP+ (LOO),0.2835815856179914,0.018063406283835227,1.8023702736690452,0.21037821383743202
zakharov,20,20,0.08,GP+ (LOO),0.347223832198263,0.03476411081707177,2.4378281489683813,0.5027402100251781
zakharov,20,5,0.002,GP+ (LOO),0.9908959151440809,0.20679614015732073,15.579555904989476,2.6146248682343254
zakharov,20,5,0.08,GP+ (LOO),0.9367188943653646,0.19785408733640636,12.980632705807107,2.215464029788625
ackley,20,20,0.002,tabpfn_v2.5,0.2513810443554187,0.012269676297081738,1.2013534205236045,0.04419737396726371
ackley,20,20,0.08,tabpfn_v2.5,0.27027655813375545,0.013477920557356358,1.2796611504495603,0.051817459645470125
ackley,20,5,0.002,tabpfn_v2.5,0.6835748229842965,0.037547333445453135,3.466032539116828,0.11634111572320735
ackley,20,5,0.08,tabpfn_v2.5,0.6933624427823665,0.03660529682715424,3.473367648513723,0.11531466535797516
