outputscale,omega,lml
-2.615000000000000213e+00,-6.000000000000000000e+00,-2.533782767372108459e+11
-2.592500000000000249e+00,-6.000000000000000000e+00,-2.531148443661478577e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-2.528384344409776611e+11
-2.547499999999999876e+00,-6.000000000000000000e+00,-2.525489644908374329e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-2.522456383788099976e+11
-2.502499999999999947e+00,-6.000000000000000000e+00,-2.519279452608031006e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-2.515952120625326233e+11
-2.457500000000000018e+00,-6.000000000000000000e+00,-2.512470504076759033e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-2.508825488546708069e+11
-2.412500000000000089e+00,-6.000000000000000000e+00,-2.505011056265029297e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-2.501021774419906921e+11
-2.367500000000000160e+00,-6.000000000000000000e+00,-2.496852574312809753e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-2.492494514805337219e+11
-2.322500000000000231e+00,-6.000000000000000000e+00,-2.487943625212839050e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-2.483190007044172363e+11
-2.277500000000000302e+00,-6.000000000000000000e+00,-2.478226670846298828e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-2.473049575088090210e+11
-2.232499999999999929e+00,-6.000000000000000000e+00,-2.467649945701410828e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-2.462017772999054565e+11
-2.187500000000000000e+00,-6.000000000000000000e+00,-2.456149576647942505e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-2.450037519708905334e+11
-2.142500000000000071e+00,-6.000000000000000000e+00,-2.443677253492551880e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-2.437061029649175110e+11
-2.097500000000000142e+00,-6.000000000000000000e+00,-2.430181572450714722e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-2.423031232190000305e+11
-2.052500000000000213e+00,-6.000000000000000000e+00,-2.415606621888170776e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-2.407902315233049316e+11
-2.007500000000000284e+00,-6.000000000000000000e+00,-2.399909847929601135e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-2.391626466562053833e+11
-1.962499999999999911e+00,-6.000000000000000000e+00,-2.383049216800653992e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-2.374170731708480530e+11
-1.917499999999999982e+00,-6.000000000000000000e+00,-2.364983603204519653e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-2.355500549496297913e+11
-1.872500000000000053e+00,-6.000000000000000000e+00,-2.345706211792223511e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-2.335600231769066162e+11
-1.827500000000000124e+00,-6.000000000000000000e+00,-2.325185336845876160e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-2.314464762575337219e+11
-1.782500000000000195e+00,-6.000000000000000000e+00,-2.303424444825709839e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-2.292084592200349121e+11
-1.737500000000000266e+00,-6.000000000000000000e+00,-2.280439001568523560e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-2.268492200959040222e+11
-1.692500000000000338e+00,-6.000000000000000000e+00,-2.256259329897778931e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-2.243722503279365540e+11
-1.647499999999999964e+00,-6.000000000000000000e+00,-2.230912764350524597e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-2.217812440408734436e+11
-1.602500000000000036e+00,-6.000000000000000000e+00,-2.204458425499900513e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-2.190843483391919250e+11
-1.557500000000000107e+00,-6.000000000000000000e+00,-2.176989532652664795e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-2.162901409077723694e+11
-1.512500000000000178e+00,-6.000000000000000000e+00,-2.148600893233130493e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-2.134103824009955139e+11
-1.467500000000000249e+00,-6.000000000000000000e+00,-2.119408092333780212e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-2.104536874051717529e+11
-1.422500000000000320e+00,-6.000000000000000000e+00,-2.089514291269012451e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-2.074364220012489929e+11
-1.377499999999999947e+00,-6.000000000000000000e+00,-2.059080426866769104e+11
